Regulator	RegulatoryEffect	TargetGene
DTL	upregulates-expression	E2F1
AR	downregulates-expression	RELA
RELA	downregulates-expression	AR
STAT3	upregulates-expression	PTPN13
CTNND2	downregulates-expression	HES1
AR	downregulates-expression	REST
LIN9	upregulates-expression	PLK1
SP1	downregulates-expression	ID4
SP3	downregulates-expression	ID4
FGF10	upregulates-expression	PDX1
NCOA1	upregulates-expression	RGL1
NCOA2	upregulates-expression	RGL1
NCOA6	upregulates-expression	RGL1
MAML2	upregulates-expression	PBX1
MAML1	upregulates-expression	PBX1
MAML3	upregulates-expression	PBX1
FOXA1	upregulates-expression	NRIP1
IL12B	upregulates-expression	MPO
IRF9	upregulates-expression	SP100
SP1	upregulates-expression	SLC5A8
SMURF2	downregulates-expression	KLF5
CREB5	downregulates-expression	LY96
KLF5	upregulates-expression	NOTCH1
JUN	upregulates-expression	IL2RA
PAX5	downregulates-expression	BLK
PRKAB1	upregulates-expression	TP53
TP53	upregulates-expression	PRKAB1
CREBBP	upregulates-expression	EPO
SP1	upregulates-expression	UTRN
TSC22D3	upregulates-expression	CCND1
SP3	upregulates-expression	UTRN
EDN1	upregulates-expression	COL1A2
TGS1	upregulates-expression	TIAM2
SP1	upregulates-expression	DBF4
TP73	upregulates-expression	HEY2
FCGR1A	upregulates-expression	STAT1
MTA3	downregulates-expression	SNAI1
COL1A1	downregulates-expression	SMAD7
COL1A2	downregulates-expression	SMAD7
MED13L	upregulates-expression	CEBPA
RELA	upregulates-expression	BCL2L1
FOSB	upregulates-expression	MMP1
TFDP3	upregulates-expression	MAP1LC3B
TP73	upregulates-expression	NEDD4L
NR3C1	downregulates-expression	IL2
NR3C1	downregulates-expression	IL5
NR3C1	downregulates-expression	IL4
NR3C1	downregulates-expression	IL6
SMARCA4	upregulates-expression	MYC
VHL	upregulates-expression	DAB2
CREBBP	upregulates-expression	BAX
TBL1X	upregulates-expression	RGL1
TRRAP	downregulates-expression	MITF
E2F1	upregulates-expression	EED
E2F3	upregulates-expression	EED
E2F2	upregulates-expression	EED
MITF	upregulates-expression	FOS
BRCA1	upregulates-expression	STAT1
BRCA1	upregulates-expression	STAT2
IL2RG	upregulates-expression	MYC
IL2RB	upregulates-expression	MYC
IL2RA	upregulates-expression	MYC
HOXA11	downregulates-expression	HOXA10
FOXH1	upregulates-expression	MEF2C
PRODH	upregulates-expression	TP53
EP300	upregulates-expression	ACTA2
SMARCD3	upregulates-expression	ANGPTL4
IL10	downregulates-expression	IL1R1
IL10	downregulates-expression	IL1R2
RELA	upregulates-expression	BCL2A1
STAT1	upregulates-expression	EDN1
TNRC6C	downregulates-expression	NOTCH4
TNRC6A	downregulates-expression	NOTCH1
TNRC6C	downregulates-expression	NOTCH1
TNRC6A	downregulates-expression	NOTCH3
TNRC6B	downregulates-expression	NOTCH2
SMARCD3	upregulates-expression	ME1
TNRC6A	downregulates-expression	NOTCH2
TNRC6B	downregulates-expression	NOTCH1
TNRC6C	downregulates-expression	NOTCH3
TNRC6B	downregulates-expression	NOTCH4
TNRC6C	downregulates-expression	NOTCH2
TNRC6A	downregulates-expression	NOTCH4
TNRC6B	downregulates-expression	NOTCH3
MSC	downregulates-expression	LTA
CREBBP	upregulates-expression	CA9
CDK19	upregulates-expression	FABP4
GFI1B	downregulates-expression	MEF2C
MAX	upregulates-expression	DKC1
CREBBP	upregulates-expression	G0S2
IL12B	upregulates-expression	CXCL9
IL12B	upregulates-expression	CXCL1
SREBF2	upregulates-expression	ACOT7
TFAP2C	upregulates-expression	GPX1
CDK12	upregulates-expression	ATM
ZBTB17	upregulates-expression	MXD4
CDK12	upregulates-expression	ATR
SP1	downregulates-expression	SLC29A1
MSC	upregulates-expression	IL2RA
FOXL2	downregulates-expression	CYP11A1
MAX	downregulates-expression	MYC
MYB	upregulates-expression	MCM4
PTCH1	upregulates-expression	PTHLH
SIRT1	upregulates-expression	CFLAR
TLE1	downregulates-expression	RCAN1
JUN	downregulates-expression	PGR
KAT7	downregulates-expression	KLK3
CREBBP	upregulates-expression	FADS1
SIX1	downregulates-expression	CDH1
IL10	downregulates-expression	IL12A
IL10	downregulates-expression	IL12B
FANCI	upregulates-expression	MDC1
MDC1	upregulates-expression	FANCI
FOXM1	upregulates-expression	PLK1
TP53	upregulates-expression	MAP4K4
FOXO3	upregulates-expression	PLK1
DNMT1	downregulates-expression	TNFRSF10B
ZBTB2	downregulates-expression	ARF1
TBP	downregulates-expression	FUS
TBX21	upregulates-expression	CHST4
MED1	upregulates-expression	LPL
JAK1	upregulates-expression	SOCS3
JAK3	upregulates-expression	SOCS3
TBL1XR1	upregulates-expression	ACOX1
MED8	upregulates-expression	LPL
MED7	upregulates-expression	LPL
MED9	upregulates-expression	LPL
MED4	upregulates-expression	LPL
MED6	upregulates-expression	LPL
HIST3H2BB	upregulates-expression	CCND1
NR1I2	upregulates-expression	CORO1C
G6PC	downregulates-expression	NR1H2
RBL1	downregulates-expression	DHFR
G6PC	downregulates-expression	NR1H3
RBL2	downregulates-expression	DHFR
INSR	upregulates-expression	PTPN1
ARNT	downregulates-expression	CDK2
TWIST1	downregulates-expression	SRPX
TWIST2	downregulates-expression	SRPX
BCL6	downregulates-expression	PDCD2
MECP2	downregulates-expression	MEF2C
TBL1XR1	upregulates-expression	ACSL1
USF2	upregulates-expression	PF4
USF1	upregulates-expression	PF4
MYC	downregulates-expression	CFLAR
MAFA	upregulates-expression	INS
ZBTB16	downregulates-expression	BID
MAX	downregulates-expression	ALDH9A1
HDAC4	upregulates-expression	PTGS2
HDAC1	upregulates-expression	PTGS2
DLX3	upregulates-expression	CGA
IL12B	upregulates-expression	IL6
EDNRA	upregulates-expression	COL3A1
TP73	upregulates-expression	GRAMD4
WIF1	upregulates-expression	CTNNB1
POU1F1	upregulates-expression	VDR
MYC	downregulates-expression	ALDH9A1
ALDH9A1	downregulates-expression	MYC
FOS	upregulates-expression	AR
HDAC3	downregulates-expression	PPARGC1A
IL6	upregulates-expression	IL17A
KLF4	upregulates-expression	GPA33
STAT3	upregulates-expression	HSP90B1
STAT3	upregulates-expression	SALL4
FOSL1	upregulates-expression	PLAU
DPY30	upregulates-expression	MYC
NFKB1	upregulates-expression	AMH
SUPT16H	upregulates-expression	CHEK1
HIPK2	downregulates-expression	VIM
NFKB1	upregulates-expression	B2M
B2M	upregulates-expression	NFKB1
TCEA1	upregulates-expression	CHEK1
ONECUT1	upregulates-expression	HNF1B
HNF1B	upregulates-expression	ONECUT1
FLT1	upregulates-expression	E2F1
PTGDR	downregulates-expression	BRCA1
MAX	downregulates-expression	CFLAR
EFEMP1	downregulates-expression	GLI2
CREBBP	upregulates-expression	IL4
CDX2	upregulates-expression	CDKN1A
IL4	downregulates-expression	CXCL8
FANCD2	upregulates-expression	CHEK1
CHEK1	upregulates-expression	FANCD2
STAT5A	downregulates-expression	CDKN2B
SIRT1	upregulates-expression	EPO
MCM2	downregulates-expression	RBPJ
HR	upregulates-expression	OLR1
MCM6	downregulates-expression	RBPJ
NPM1	upregulates-expression	CTNNB1
GLI2	upregulates-expression	FOXA2
GLI1	upregulates-expression	FOXA2
IL4	upregulates-expression	MAOA
TP73	upregulates-expression	HAGH
VEGFA	upregulates-expression	STAT3
STAT3	upregulates-expression	VEGFA
RELA	upregulates-expression	SELE
FOXE1	upregulates-expression	GLI2
GLI2	upregulates-expression	FOXF1
ATF2	downregulates-expression	CDK4
FOS	upregulates-expression	IL2RA
JUN	downregulates-expression	MYC
NFKB1	upregulates-expression	FLT4
POU2F2	upregulates-expression	TK1
POU2F1	upregulates-expression	TK1
RB1	downregulates-expression	TGFB2
TADA2B	upregulates-expression	CDKN1A
DR1	downregulates-expression	TBP
NPY2R	downregulates-expression	GLI2
SOX2	downregulates-expression	TUBB3
TBL1XR1	upregulates-expression	CPT2
RB1	downregulates-expression	FOS
RUNX1	upregulates-expression	HBP1
ARNT	upregulates-expression	FURIN
MAX	downregulates-expression	FTH1
NFKB1	downregulates-expression	BCL2L11
HELZ2	upregulates-expression	TNFRSF21
HOXA7	upregulates-expression	VIM
SFPQ	downregulates-expression	ADARB2
PLAG1	upregulates-expression	IGF2
ATM	downregulates-expression	SP1
E2F1	upregulates-expression	ATM
ATM	upregulates-expression	E2F1
RELA	upregulates-expression	TWIST1
SP1	downregulates-expression	AHR
HCFC1	downregulates-expression	E2F4
E2F1	downregulates-expression	SERPINE1
SERPINE1	downregulates-expression	E2F1
PRKCB	upregulates-expression	VCAM1
PRKCA	upregulates-expression	VCAM1
E2F3	downregulates-expression	SERPINE1
PRKCD	upregulates-expression	VCAM1
E2F2	downregulates-expression	SERPINE1
PRKCE	upregulates-expression	VCAM1
E2F1	upregulates-expression	DAPK2
PRKCH	upregulates-expression	VCAM1
DAPK2	upregulates-expression	E2F1
PRKCG	upregulates-expression	VCAM1
MYC	upregulates-expression	ST3GAL4
MYC	upregulates-expression	ST3GAL1
MYC	upregulates-expression	ST3GAL3
PRKCQ	upregulates-expression	VCAM1
NEUROD1	upregulates-expression	GCK
NANOG	upregulates-expression	KLF2
NANOG	upregulates-expression	KLF4
KLF4	upregulates-expression	NANOG
ESR1	downregulates-expression	PTMA
JUN	upregulates-expression	IL23A
RPS6KA3	upregulates-expression	FOXO1
BGLAP	upregulates-expression	SMAD3
BGLAP	upregulates-expression	SMAD4
GATA2	downregulates-expression	SPI1
GATA1	downregulates-expression	SPI1
XPC	downregulates-expression	RNF111
STAT3	downregulates-expression	LTBP1
BTF3	downregulates-expression	SSPN
BTAF1	downregulates-expression	DR1
NFKB1	upregulates-expression	CRP
IL13	upregulates-expression	HMOX1
KANK1	upregulates-expression	CXXC5
FOXA1	upregulates-expression	PISD
EDNRA	upregulates-expression	COL1A2
EDNRB	upregulates-expression	COL1A2
TP63	upregulates-expression	PRKCD
DDX5	upregulates-expression	MYC
MECP2	downregulates-expression	FKBP5
SPDEF	upregulates-expression	SERPINB5
ESR1	downregulates-expression	CDKN1B
HDAC1	upregulates-expression	IGFBP3
ATF2	upregulates-expression	RETN
SUPT4H1	upregulates-expression	CHEK1
YY1	upregulates-expression	CYCS
CREBBP	upregulates-expression	GCK
MYB	upregulates-expression	IQGAP1
TFAP2A	upregulates-expression	DCBLD2
ERF	downregulates-expression	PRL
SOCS2	upregulates-expression	SOCS1
SOCS1	upregulates-expression	SOCS2
TBL1XR1	upregulates-expression	CYP1A1
DCT	upregulates-expression	MITF
MITF	upregulates-expression	DCT
MYC	downregulates-expression	FTH1
SP1	upregulates-expression	MAT2B
SP1	upregulates-expression	MAT2A
CDX2	upregulates-expression	MEP1A
PAX8	upregulates-expression	SLC3A1
MAPK1	upregulates-expression	ZFP36
MAPK3	upregulates-expression	ZFP36
SKIL	downregulates-expression	ADAM12
GATA3	upregulates-expression	ERVW-1
GATA2	upregulates-expression	ERVW-1
ZBTB17	downregulates-expression	CLU
NFKB1	upregulates-expression	CFI
LIN37	upregulates-expression	CCNB1
LIN37	upregulates-expression	CCNB2
CRX	downregulates-expression	RHO
IL2	upregulates-expression	IL2RA
LIN52	upregulates-expression	CCNB2
LIN52	upregulates-expression	CCNB1
LIN54	upregulates-expression	CCNB2
LIN54	upregulates-expression	CCNB1
IL23R	upregulates-expression	IL6
IL23A	upregulates-expression	IL6
IFNG	downregulates-expression	IL23R
GATA3	downregulates-expression	FOXC1
GATA3	downregulates-expression	FOXC2
XBP1	upregulates-expression	SRPRB
XBP1	upregulates-expression	SRPRA
MYBL2	downregulates-expression	TCF7L2
PTGDR	upregulates-expression	RRM2
PTGDR	upregulates-expression	RRM1
NFKB1	upregulates-expression	BGN
RUNX1	upregulates-expression	PRKCB
YY1	upregulates-expression	PPARGC1A
RUNX1	upregulates-expression	PRKCQ
JUN	downregulates-expression	LBP
ETV5	upregulates-expression	CTNNB1
JUN	upregulates-expression	IL12B
ATOH1	upregulates-expression	HES6
ATF1	upregulates-expression	IL10
ATF7	upregulates-expression	TAF12
MAF	upregulates-expression	ITGB7
MCM6	downregulates-expression	NOTCH1
MCM2	downregulates-expression	NOTCH1
STAT5A	upregulates-expression	FOS
STAT5B	upregulates-expression	FOS
ATF2	upregulates-expression	RELA
TP53	downregulates-expression	DNMT1
EDN1	upregulates-expression	COL3A1
MED1	upregulates-expression	ANGPTL4
MED4	upregulates-expression	ANGPTL4
MED6	upregulates-expression	ANGPTL4
MED8	upregulates-expression	ANGPTL4
MED7	upregulates-expression	ANGPTL4
MED9	upregulates-expression	ANGPTL4
SUPT5H	upregulates-expression	FANCD2
MEF2C	upregulates-expression	MAPK7
SP3	upregulates-expression	RASSF1
SP1	upregulates-expression	RASSF1
PRMT1	upregulates-expression	GADD45A
GRB2	upregulates-expression	CCND3
ZNF382	downregulates-expression	HMGA2
NR3C1	downregulates-expression	CGA
CREBBP	upregulates-expression	LPL
AR	downregulates-expression	SEPT7
MEF2A	upregulates-expression	MAPK7
CARM1	upregulates-expression	RGL1
FOXF2	downregulates-expression	PDGFA
IL4	downregulates-expression	IL6
ZNF350	downregulates-expression	HMGA2
MAX	upregulates-expression	SLC2A1
ELOA	upregulates-expression	RAD51D
ELOC	upregulates-expression	RAD51D
ELOB	upregulates-expression	RAD51D
IL10	downregulates-expression	CXCL10
SMS	upregulates-expression	AR
PPP1R13B	upregulates-expression	FAS
CREBBP	upregulates-expression	ME1
PLK3	upregulates-expression	CCNE1
NT5E	upregulates-expression	CTNNB1
WT1	downregulates-expression	STIM1
TFDP1	upregulates-expression	EZH2
TFDP2	upregulates-expression	EZH2
MYB	upregulates-expression	SLC1A5
EGR1	upregulates-expression	UBE2S
ESR1	upregulates-expression	KLRC3
NR2F1	downregulates-expression	DR1
TCF19	downregulates-expression	CCNE1
NR1H4	upregulates-expression	NFKB1
ETV4	upregulates-expression	ETS1
RXRA	upregulates-expression	HMGCR
CDX2	upregulates-expression	HEPH
CALM2	upregulates-expression	ITCH
EGR1	upregulates-expression	HIF1A
E2F4	downregulates-expression	RAD51
E2F6	downregulates-expression	RAD51
KLF16	downregulates-expression	CDKN1A
MET	upregulates-expression	MITF
E2F3	upregulates-expression	ORC1
E2F2	upregulates-expression	ORC1
E2F1	upregulates-expression	ORC1
AMHR2	upregulates-expression	NR5A1
TFDP1	upregulates-expression	CES5A
TFDP2	upregulates-expression	CES5A
PITX2	downregulates-expression	GNRH1
PITX1	downregulates-expression	GNRH1
USF2	upregulates-expression	PDX1
RELA	upregulates-expression	S100A6
JUN	upregulates-expression	MMP1
MMP1	upregulates-expression	JUN
JUN	upregulates-expression	MMP3
JUN	upregulates-expression	MMP2
JUN	upregulates-expression	MMP9
JUN	upregulates-expression	MMP7
MMP7	upregulates-expression	JUN
JUN	downregulates-expression	IL2
NFKB1	downregulates-expression	SERPINA3
TFDP2	upregulates-expression	CES4A
TFDP1	upregulates-expression	CES4A
NPM1	downregulates-expression	HSPD1
E2F1	upregulates-expression	FANCA
RUNX3	upregulates-expression	TRAF6
PPARD	upregulates-expression	CTNNB1
CTNNB1	upregulates-expression	PPARD
STAT4	downregulates-expression	HNRNPA2B1
PPARGC1A	upregulates-expression	PCK2
PPARGC1A	upregulates-expression	PCK1
SP1	upregulates-expression	F2
F2	upregulates-expression	SP1
F2	upregulates-expression	SP3
SIRT1	downregulates-expression	NOTCH1
GATA3	upregulates-expression	ZEB1
HDAC2	downregulates-expression	CSF2
ZBTB7A	downregulates-expression	MYC
SP1	upregulates-expression	AR
RELA	upregulates-expression	NLRP2
RELA	upregulates-expression	NLRP3
STAT1	upregulates-expression	CEBPE
STAT3	upregulates-expression	CEBPB
PROX1	downregulates-expression	NR1I2
STAT3	upregulates-expression	CEBPD
CREBBP	upregulates-expression	NCL
ERG	downregulates-expression	CXCL8
TBL1XR1	upregulates-expression	CD36
SKI	upregulates-expression	MDM2
ATF5	upregulates-expression	CREB1
MYC	upregulates-expression	SLC2A1
YY1	upregulates-expression	TFAP2A
ZEB1	downregulates-expression	MUC1
XBP1	upregulates-expression	HYOU1
FN1	downregulates-expression	MYC
WT1	upregulates-expression	ITGAX
SP1	upregulates-expression	MDM2
TP73	upregulates-expression	DCP1B
KAT2B	upregulates-expression	GP1BA
IL12RB1	upregulates-expression	IL23R
MAX	upregulates-expression	E2F3
TBX21	upregulates-expression	IFNG
IL23R	upregulates-expression	TNF
GAB1	downregulates-expression	A2M
GAB2	downregulates-expression	A2M
IL12RB1	upregulates-expression	IL1R1
TNF	upregulates-expression	IL23A
IL23A	upregulates-expression	TNF
IL12RB2	upregulates-expression	IL1R1
PIAS2	downregulates-expression	LRRN3
FOS	downregulates-expression	MYC
SIN3A	downregulates-expression	ITGA2B
SIN3B	downregulates-expression	ITGA2B
STAT3	upregulates-expression	KLF11
MYB	downregulates-expression	CD4
HDAC3	downregulates-expression	NPAS2
ESR1	upregulates-expression	NRF1
MAX	downregulates-expression	CLU
HIF1A	upregulates-expression	EDNRB
IGFBP6	downregulates-expression	TCF7L1
IGFBP6	downregulates-expression	TCF7L2
CASP8	downregulates-expression	KLK3
PRLR	upregulates-expression	CSN2
NFKB1	upregulates-expression	CXCL8
CETP	upregulates-expression	SREBF2
CETP	upregulates-expression	SREBF1
CHD9	upregulates-expression	CPT1A
NFKB1	upregulates-expression	CXCL1
ZBTB7A	downregulates-expression	PKM
MTA1	downregulates-expression	RNF144A
MYC	downregulates-expression	CLU
RPL11	downregulates-expression	NCL
E2F1	upregulates-expression	FZD1
E2F1	upregulates-expression	MYB
MYB	upregulates-expression	E2F1
E2F2	upregulates-expression	MYC
E2F1	upregulates-expression	MYC
MYC	upregulates-expression	E2F1
E2F3	upregulates-expression	MYC
MYC	upregulates-expression	E2F3
SRSF1	upregulates-expression	MYC
MYC	upregulates-expression	SRSF1
IRF1	downregulates-expression	CCNB1
CREBBP	upregulates-expression	KIT
RELA	upregulates-expression	PLIN1
STAT3	upregulates-expression	BIRC5
BIRC5	upregulates-expression	STAT3
BIRC3	upregulates-expression	STAT3
IRF9	downregulates-expression	CCND2
HMGA1	downregulates-expression	BRCA1
BRCA1	downregulates-expression	HMGA2
SMAD3	upregulates-expression	FOXP3
SP1	upregulates-expression	P4HA1
SMAD4	upregulates-expression	FOXO1
SMAD4	upregulates-expression	FOXO3
FOSL2	upregulates-expression	LAMA3
IRF1	downregulates-expression	CCNE1
GATA2	upregulates-expression	NOTCH1
NOTCH1	upregulates-expression	GATA3
RELA	upregulates-expression	ABCG2
KAT2B	upregulates-expression	SMAD4
SMARCD3	upregulates-expression	SLC27A1
TCF3	downregulates-expression	BBC3
ABCB1	upregulates-expression	RELB
RELA	upregulates-expression	ABCB1
ABCB1	upregulates-expression	RELA
HMGA1	upregulates-expression	PTGS2
CLOCK	upregulates-expression	PER1
PER1	upregulates-expression	CLOCK
CLOCK	upregulates-expression	PER3
CLOCK	upregulates-expression	PER2
PER2	upregulates-expression	CLOCK
NRF1	upregulates-expression	ATP5F1B
GTF2I	upregulates-expression	HSPA5
MAX	upregulates-expression	MMP9
MAZ	upregulates-expression	MMP1
SP1	upregulates-expression	ELMO3
POU5F1	upregulates-expression	NR5A1
TBL1XR1	upregulates-expression	ALAS1
USP7	upregulates-expression	GLI1
FOS	upregulates-expression	MSH2
CTNNB1	upregulates-expression	KCNIP4
XBP1	upregulates-expression	EDEM1
ING1	upregulates-expression	CASP3
ING4	upregulates-expression	CASP3
HSP90B1	upregulates-expression	HIF1A
TFDP1	downregulates-expression	CDC25C
NFKB1	upregulates-expression	CXCR2
NFKB1	upregulates-expression	CXCR4
TFDP2	downregulates-expression	CDC25C
CTDP1	upregulates-expression	CHEK1
NFIB	upregulates-expression	C4BPB
NFIA	upregulates-expression	C4BPB
NFIC	upregulates-expression	C4BPB
CD40LG	upregulates-expression	IRF4
NCF1	downregulates-expression	HBP1
HBP1	downregulates-expression	NCF1
RUNX3	downregulates-expression	PEA15
FDPS	downregulates-expression	YY1
SCGB1A1	upregulates-expression	CEBPA
FOS	upregulates-expression	MT2A
EPCAM	upregulates-expression	TCF7L2
VHL	upregulates-expression	AR
MAMLD1	upregulates-expression	PLXND1
FOXM1	upregulates-expression	CDC25B
FOXM1	upregulates-expression	CDC25A
PROX1	downregulates-expression	NR5A2
SMARCD3	upregulates-expression	G0S2
SPI1	upregulates-expression	RBPJ
